"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","OID_","BLUE","ACRES","REL_PERCENT","annual_dist_acres"
"262","All Fire","14770_63_64_65_66",0.0068772,"Boreal Acidic Peatland Systems",1521,0.541176,60209,0,414.0693348
"263","All Fire","14790_41_42_47_48_50_51_53",0.0009708,"Central Interior and Appalachian Swamp Systems",1200,1,636122,0.2,617.5472376
"264","All Fire","14790_41_42_47_48_50_51_53",0.0009708,"Central Interior and Appalachian Swamp Systems",1650,1,546121,0.2,530.1742668
"265","All Fire","14790_41_42_47_48_50_51_53",0.0009708,"Central Interior and Appalachian Swamp Systems",1146,1,334713,0.1,324.9393804
"266","All Fire","14790_41_42_47_48_50_51_53",0.0009708,"Central Interior and Appalachian Swamp Systems",1171,1,245251,0.1,238.0896708
"267","All Fire","14790_41_42_47_48_50_51_53",0.0009708,"Central Interior and Appalachian Swamp Systems",1576,1,5771,0,5.6024868
"268","All Fire","14790_41_42_47_48_50_51_53",0.0009708,"Central Interior and Appalachian Swamp Systems",1690,1,19383,0,18.8170164
"269","All Fire","14790_52_62",0.0009982,"Central Interior and Appalachian Swamp Systems",1536,1,1097193,0.4,1095.2180526
"270","All Fire","14790_52_62",0.0009982,"Central Interior and Appalachian Swamp Systems",1479,1,32151,0,32.0931282
"271","All Fire","14790_60_61_63_64_65_66",0.0017616,"Central Interior and Appalachian Swamp Systems",1466,1,1364390,0.5,2403.509424
"272","All Fire","14790_60_61_63_64_65_66",0.0017616,"Central Interior and Appalachian Swamp Systems",1499,1,208600,0.1,367.46976
"273","All Fire","14790_60_61_63_64_65_66",0.0017616,"Central Interior and Appalachian Swamp Systems",1427,1,9444,0,16.6365504
"274","All Fire","14790_60_61_63_64_65_66",0.0017616,"Central Interior and Appalachian Swamp Systems",1451,1,19965,0,35.170344
"275","All Fire","14790_60_61_63_64_65_66",0.0017616,"Central Interior and Appalachian Swamp Systems",1522,1,99681,0,175.5980496
