OID_,Value,Count,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,PRC_REPLAC,PRC_MIXED,PRC_SURFAC,FRG_NEW,R,G,B,RED,GREEN,BLUE
1150,1586,944949.000000000000000,14940,50,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,18,-9999,-9999,18,100,-9999,-9999,II-C,0,168,107,0.000000000000000,0.658824000000000,0.419608000000000
1151,1587,5107407.000000000000000,15170,50,15170_42_49_50,Paleozoic Plateau Bluff and Talus,Hardwood-Conifer,15,126,102,12,79,9,12,II-B,106,117,0,0.415686000000000,0.458824000000000,0.000000000000000
1152,1588,15600222.000000000000000,13022,41,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,2040,-9999,-9999,2040,100,-9999,-9999,V-B,76,230,0,0.298039000000000,0.901961000000000,0.000000000000000
1153,1589,1735857.000000000000000,13022,41,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,2040,-9999,-9999,2040,100,-9999,-9999,V-B,76,230,150,0.298039000000000,0.901961000000000,0.588235000000000
1154,1590,7138141.000000000000000,13100,41,13100_41_62,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,74,56,23,13,18,24,58,I-B,176,163,222,0.690196000000000,0.639216000000000,0.870588000000000
1155,1591,12175245.000000000000000,13140,41,13140_38_39_40_41_42_43_44_50,North-Central Interior Maple-Basswood Forest,Hardwood,1027,-9999,857,467,46,-9999,54,V-A,237,161,102,0.929412000000000,0.631373000000000,0.400000000000000
1156,1592,457321.000000000000000,13310,41,13310_39_40_41,Eastern Great Plains Tallgrass Aspen Parkland,Hardwood,16,-9999,8,6,35,-9999,65,I-B,220,240,0,0.862745000000000,0.941176000000000,0.000000000000000
1157,1593,3460313.000000000000000,13440,41,13440_41,Boreal Jack Pine-Black Spruce Forest,Conifer,82,-9999,-9999,82,100,-9999,-9999,IV-A,255,140,140,1.000000000000000,0.549020000000000,0.549020000000000
1158,1596,13018302.000000000000000,13651,41,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,250,1468,-9999,213,85,15,-9999,V-A,147,194,114,0.576471000000000,0.760784000000000,0.447059000000000
1159,1597,2540756.000000000000000,13652,41,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,939,1147,-9999,516,55,45,-9999,V-B,110,137,70,0.431373000000000,0.537255000000000,0.274510000000000
1160,1598,14764984.000000000000000,13653,41,13653_41,Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,Conifer,112,243,-9999,76,68,32,-9999,III-A,255,255,145,1.000000000000000,1.000000000000000,0.568627000000000
1161,1599,8909275.000000000000000,13940,41,13940_39_40_41,North-Central Interior Oak Savanna,Hardwood,550,165,5,5,1,3,96,I-A,230,213,138,0.901961000000000,0.835294000000000,0.541176000000000
1162,1600,2501596.000000000000000,13950,41,13950_41_42_43_49_52,North-Central Oak Barrens,Hardwood,341,246,5,5,1,2,97,I-A,255,235,176,1.000000000000000,0.921569000000000,0.690196000000000
1163,1601,498108.000000000000000,14071,41,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,109,75,5,4,4,6,90,I-A,153,66,0,0.600000000000000,0.258824000000000,0.000000000000000
1164,1602,11046083.000000000000000,14072,41,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,25,46,18,8,34,18,48,I-B,153,66,100,0.600000000000000,0.258824000000000,0.392157000000000
1165,1603,3016992.000000000000000,14120,41,14120_39_40_41_42_43_50_51,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,4,-9999,87,3,96,-9999,4,II-A,214,0,157,0.839216000000000,0.000000000000000,0.615686000000000
1166,1604,10630183.000000000000000,14200,41,14200_41,Northern Tallgrass Prairie,Grassland,4,-9999,-9999,4,100,-9999,-9999,II-A,184,132,29,0.721569000000000,0.517647000000000,0.113725000000000
1167,1605,3308445.000000000000000,14440,41,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,-9999,581,312,203,-9999,35,65,V-A,69,69,156,0.270588000000000,0.270588000000000,0.611765000000000
1168,1606,777077.000000000000000,14710,41,14710_41_50,Central Interior and Appalachian Floodplain Systems,Riparian,-9999,432,67,58,-9999,14,86,III-A,0,191,176,0.000000000000000,0.749020000000000,0.690196000000000
1169,1607,2298879.000000000000000,14750,41,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,-9999,435,68,59,-9999,14,86,III-A,122,143,245,0.478431000000000,0.560784000000000,0.960784000000000
1170,1608,20227200.000000000000000,14770,41,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,716,-9999,123,105,15,-9999,85,III-B,106,0,138,0.415686000000000,0.000000000000000,0.541176000000000
1171,1609,1102775.000000000000000,14790,41,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,Riparian,987,-9999,-9999,987,100,-9999,-9999,V-B,207,61,255,0.811765000000000,0.239216000000000,1.000000000000000
1172,1610,5172789.000000000000000,14810,41,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,989,-9999,-9999,989,100,-9999,-9999,V-B,232,189,255,0.909804000000000,0.741176000000000,1.000000000000000
1173,1611,2289.000000000000000,14920,41,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,122,245,202,0.478431000000000,0.960784000000000,0.792157000000000
1174,1612,2605159.000000000000000,14930,41,14930_41_42_44_50,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Riparian,17,-9999,-9999,17,100,-9999,-9999,II-C,240,150,20,0.941176000000000,0.588235000000000,0.078431000000000
1175,1613,4417576.000000000000000,14940,41,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,18,-9999,-9999,18,100,-9999,-9999,II-C,0,168,107,0.000000000000000,0.658824000000000,0.419608000000000
1176,1614,23634794.000000000000000,13022,51,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,2040,-9999,-9999,2040,100,-9999,-9999,V-B,76,230,0,0.298039000000000,0.901961000000000,0.000000000000000
1177,1615,10454292.000000000000000,13022,51,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,2040,-9999,-9999,2040,100,-9999,-9999,V-B,76,230,150,0.298039000000000,0.901961000000000,0.588235000000000
1178,1616,457857.000000000000000,13023,51,13023_51,Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood,Hardwood,1016,-9999,-9999,1016,100,-9999,-9999,V-B,38,105,0,0.149020000000000,0.411765000000000,0.000000000000000
1179,1617,8839521.000000000000000,13100,51,13100_51,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,161,160,11,9,6,6,88,I-B,176,163,222,0.690196000000000,0.639216000000000,0.870588000000000
1180,1618,3232093.000000000000000,13110,51,13110_51,North-Central Interior Dry Oak Forest and Woodland,Hardwood,137,111,11,9,7,8,85,I-B,179,207,143,0.701961000000000,0.811765000000000,0.560784000000000
1181,1619,30755083.000000000000000,13130,51,13130_47_50_51,North-Central Interior Beech-Maple Forest,Hardwood,1004,-9999,836,456,45,-9999,55,V-A,0,156,44,0.000000000000000,0.611765000000000,0.172549000000000
1182,1620,2945536.000000000000000,13441,51,13441_51,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Conifer,34,64,7,5,15,8,77,I-A,255,140,140,1.000000000000000,0.549020000000000,0.549020000000000
1183,1621,301468.000000000000000,13442,51,13442_51,Boreal Jack Pine-Black Spruce Forest-Spruce-Fir,Conifer,112,-9999,-9999,112,100,-9999,-9999,IV-B,135,200,114,0.529412000000000,0.784314000000000,0.447059000000000
1184,1622,14317662.000000000000000,13620,51,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,309,447,65,48,16,11,73,III-A,255,191,191,1.000000000000000,0.749020000000000,0.749020000000000
1185,1623,5705783.000000000000000,13651,51,13651_51,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,490,524,-9999,253,52,48,-9999,V-A,147,194,114,0.576471000000000,0.760784000000000,0.447059000000000
1186,1624,3317735.000000000000000,13652,51,13652_51,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,872,1306,-9999,523,60,40,-9999,V-B,110,137,70,0.431373000000000,0.537255000000000,0.274510000000000
1187,1625,8651989.000000000000000,13660,51,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,482,998,289,153,32,15,53,III-B,208,255,99,0.815686000000000,1.000000000000000,0.388235000000000
1188,1626,1245281.000000000000000,13940,51,13940_50_51,North-Central Interior Oak Savanna,Hardwood,66,184,5,5,7,3,90,I-A,230,213,138,0.901961000000000,0.835294000000000,0.541176000000000
1189,1627,7617028.000000000000000,13950,51,13950_51,North-Central Oak Barrens,Hardwood,49,180,6,5,10,3,87,I-A,255,235,176,1.000000000000000,0.921569000000000,0.690196000000000
1190,1628,4695575.000000000000000,14071,51,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,109,75,5,4,4,6,90,I-A,153,66,0,0.600000000000000,0.258824000000000,0.000000000000000
1191,1629,611883.000000000000000,14072,51,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,25,46,18,8,34,18,48,I-B,153,66,100,0.600000000000000,0.258824000000000,0.392157000000000
1192,1630,642281.000000000000000,14110,51,14110_49_51_52,Great Lakes Wet-Mesic Lakeplain Prairie,Riparian,24,-9999,-9999,24,100,-9999,-9999,II-C,235,255,0,0.921569000000000,1.000000000000000,0.000000000000000
1193,1631,666732.000000000000000,14120,51,14120_39_40_41_42_43_50_51,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,4,-9999,87,3,96,-9999,4,II-A,214,0,157,0.839216000000000,0.000000000000000,0.615686000000000
1194,1632,625653.000000000000000,14210,51,14210_31_38_42_43_44_50_51,Central Tallgrass Prairie,Grassland,4,-9999,-9999,4,100,-9999,-9999,II-A,232,255,196,0.909804000000000,1.000000000000000,0.768627000000000
1195,1633,405425.000000000000000,14440,51,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,-9999,581,312,203,-9999,35,65,V-A,69,69,156,0.270588000000000,0.270588000000000,0.611765000000000
1196,1634,62248.000000000000000,14660,51,14660_50_51,Great Lakes Wooded Dune and Swale,Riparian,3715,536,-9999,468,13,87,-9999,V-A,181,0,0,0.709804000000000,0.000000000000000,0.000000000000000
1197,1635,5026822.000000000000000,14710,51,14710_51_62,Central Interior and Appalachian Floodplain Systems,Riparian,-9999,429,67,58,-9999,14,86,III-A,0,191,176,0.000000000000000,0.749020000000000,0.690196000000000
1198,1636,1161264.000000000000000,14750,51,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,-9999,435,68,59,-9999,14,86,III-A,122,143,245,0.478431000000000,0.560784000000000,0.960784000000000
1199,1637,6258222.000000000000000,14770,51,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,716,-9999,123,105,15,-9999,85,III-B,106,0,138,0.415686000000000,0.000000000000000,0.541176000000000
1200,1638,2860328.000000000000000,14790,51,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,Riparian,987,-9999,-9999,987,100,-9999,-9999,V-B,207,61,255,0.811765000000000,0.239216000000000,1.000000000000000
1201,1639,16974315.000000000000000,14810,51,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,989,-9999,-9999,989,100,-9999,-9999,V-B,232,189,255,0.909804000000000,0.741176000000000,1.000000000000000
1202,1640,199331.000000000000000,14920,51,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,122,245,202,0.478431000000000,0.960784000000000,0.792157000000000
1203,1641,12414.000000000000000,14940,51,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,18,-9999,-9999,18,100,-9999,-9999,II-C,0,168,107,0.000000000000000,0.658824000000000,0.419608000000000
1207,1645,625.000000000000000,11620,40,11620_31_39_40,Western Great Plains Floodplain Systems,Riparian,250,94,196,51,20,54,26,III-A,102,153,205,0.400000000000000,0.600000000000000,0.803922000000000
1208,1646,366885.000000000000000,13010,40,13010_40,Boreal Aspen-Birch Forest,Conifer,82,-9999,-9999,82,100,-9999,-9999,IV-A,255,245,56,1.000000000000000,0.960784000000000,0.219608000000000
1209,1647,902.000000000000000,13020,40,13020_40,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,2109,-9999,-9999,2109,100,-9999,-9999,V-B,76,230,0,0.298039000000000,0.901961000000000,0.000000000000000
1210,1648,531014.000000000000000,13140,40,13140_38_39_40_41_42_43_44_50,North-Central Interior Maple-Basswood Forest,Hardwood,1027,-9999,857,467,46,-9999,54,V-A,237,161,102,0.929412000000000,0.631373000000000,0.400000000000000
1211,1649,1351310.000000000000000,13310,40,13310_39_40_41,Eastern Great Plains Tallgrass Aspen Parkland,Hardwood,16,-9999,8,6,35,-9999,65,I-B,220,240,0,0.862745000000000,0.941176000000000,0.000000000000000
1212,1650,114427.000000000000000,13651,40,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,250,1468,-9999,213,85,15,-9999,V-A,147,194,114,0.576471000000000,0.760784000000000,0.447059000000000
1214,1652,1130520.000000000000000,13940,40,13940_39_40_41,North-Central Interior Oak Savanna,Hardwood,550,165,5,5,1,3,96,I-A,230,213,138,0.901961000000000,0.835294000000000,0.541176000000000
1215,1653,1712380.000000000000000,14120,40,14120_39_40_41_42_43_50_51,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,4,-9999,87,3,96,-9999,4,II-A,214,0,157,0.839216000000000,0.000000000000000,0.615686000000000
1216,1654,18714454.000000000000000,14200,40,14200_39_40_42,Northern Tallgrass Prairie,Grassland,6,-9999,-9999,6,100,-9999,-9999,II-B,184,132,29,0.721569000000000,0.517647000000000,0.113725000000000
1217,1655,425933.000000000000000,14690,40,14690_31_39_40_43,Eastern Great Plains Floodplain Systems,Riparian,517,77,176,48,9,63,28,III-A,75,170,190,0.294118000000000,0.666667000000000,0.745098000000000
1218,1656,2621808.000000000000000,14770,40,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,716,-9999,123,105,15,-9999,85,III-B,106,0,138,0.415686000000000,0.000000000000000,0.541176000000000
1219,1657,1140329.000000000000000,14820,40,14820_39_40,Great Plains Prairie Pothole,Grassland,50,-9999,-9999,50,100,-9999,-9999,IV-A,156,100,163,0.611765000000000,0.392157000000000,0.639216000000000
1220,1658,18437.000000000000000,14950,40,14950_31_39_40,Western Great Plains Depressional Wetland Systems,Riparian,20,-9999,-9999,20,100,-9999,-9999,II-C,104,0,156,0.407843000000000,0.000000000000000,0.611765000000000
1225,1663,267749.000000000000000,13100,39,13100_39,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,112,43,47,19,17,43,40,I-C,176,163,222,0.690196000000000,0.639216000000000,0.870588000000000
1226,1664,35198.000000000000000,13110,39,13110_39,North-Central Interior Dry Oak Forest and Woodland,Hardwood,77,85,19,13,17,15,68,I-B,179,207,143,0.701961000000000,0.811765000000000,0.560784000000000
1227,1665,318776.000000000000000,13140,39,13140_38_39_40_41_42_43_44_50,North-Central Interior Maple-Basswood Forest,Hardwood,1027,-9999,857,467,46,-9999,54,V-A,237,161,102,0.929412000000000,0.631373000000000,0.400000000000000
1229,1667,2847.000000000000000,13850,39,13850_31_39_40_42,Western Great Plains Wooded Draw and Ravine,Shrubland,91,65,230,32,36,50,14,I-C,168,168,0,0.658824000000000,0.658824000000000,0.000000000000000
1230,1668,164072.000000000000000,13940,39,13940_39_40_41,North-Central Interior Oak Savanna,Hardwood,550,165,5,5,1,3,96,I-A,230,213,138,0.901961000000000,0.835294000000000,0.541176000000000
1231,1669,1965143.000000000000000,14120,39,14120_39_40_41_42_43_50_51,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,4,-9999,87,3,96,-9999,4,II-A,214,0,157,0.839216000000000,0.000000000000000,0.615686000000000
1232,1670,34667012.000000000000000,14200,39,14200_39_40_42,Northern Tallgrass Prairie,Grassland,6,-9999,-9999,6,100,-9999,-9999,II-B,184,132,29,0.721569000000000,0.517647000000000,0.113725000000000
1233,1671,2131069.000000000000000,14690,39,14690_31_39_40_43,Eastern Great Plains Floodplain Systems,Riparian,517,77,176,48,9,63,28,III-A,75,170,190,0.294118000000000,0.666667000000000,0.745098000000000
1234,1672,489402.000000000000000,14820,39,14820_39_40,Great Plains Prairie Pothole,Grassland,50,-9999,-9999,50,100,-9999,-9999,IV-A,156,100,163,0.611765000000000,0.392157000000000,0.639216000000000
1402,1840,8909540.000000000000000,13030,60,13030_60,Northeastern Interior Dry-Mesic Oak Forest,Hardwood,7,17,15,4,53,22,25,I-A,215,185,100,0.843137000000000,0.725490000000000,0.392157000000000
1403,1841,1946.000000000000000,13160,60,13160_60,Southern Piedmont Mesic Forest,Hardwood,499,355,52,41,8,12,80,III-A,99,199,125,0.388235000000000,0.780392000000000,0.490196000000000
1404,1842,327022.000000000000000,13240,60,13240_60_65_66,Northern Atlantic Coastal Plain Hardwood Forest,Hardwood,48,44,4,4,8,8,84,I-A,161,112,90,0.631373000000000,0.439216000000000,0.352941000000000
1406,1844,271238.000000000000000,13430,60,13430_58_60,Atlantic Coastal Plain Mesic Hardwood Forest,Hardwood,479,382,43,36,8,9,83,III-A,168,112,0,0.658824000000000,0.439216000000000,0.000000000000000
1408,1846,2141.000000000000000,13520,60,13520_53_54_57_59_60_61,Southern Appalachian Montane Pine Forest and Woodland,Conifer,88,101,5,5,6,5,89,I-A,117,71,197,0.458824000000000,0.278431000000000,0.772549000000000
1410,1848,53313.000000000000000,13550,60,13550_60_65,Northern Atlantic Coastal Plain Pitch Pine Barrens,Conifer,77,31,12,8,10,25,65,I-B,255,165,82,1.000000000000000,0.647059000000000,0.321569000000000
1412,1850,16265.000000000000000,13680,60,13680_46_48_54_57_59_60_61,Southern Piedmont Dry Oak(-Pine) Forest,Hardwood-Conifer,325,235,5,5,2,2,96,I-A,211,186,255,0.827451000000000,0.729412000000000,1.000000000000000
1413,1851,3267370.000000000000000,13690,60,13690_60_61_63_64_65_66,Central Appalachian Dry Oak-Pine Forest,Hardwood-Conifer,182,463,15,14,8,3,89,I-B,0,255,220,0.000000000000000,1.000000000000000,0.862745000000000
1414,1852,1003325.000000000000000,13700,60,13700_60_63_64_65_66,Appalachian (Hemlock-)Northern Hardwood Forest,Hardwood,1010,1122,-9999,531,53,47,-9999,V-B,214,255,145,0.839216000000000,1.000000000000000,0.568627000000000
1415,1853,4.000000000000000,13750,60,13750_60,Eastern Serpentine Woodland,Hardwood-Conifer,87,56,5,5,6,8,86,I-A,229,94,99,0.898039000000000,0.368627000000000,0.388235000000000
1416,1854,73395.000000000000000,13770,60,13770_60_61_63_64_65_66,Central Appalachian Pine-Oak Rocky Woodland,Hardwood-Conifer,412,384,4645,190,46,50,4,III-B,255,0,77,1.000000000000000,0.000000000000000,0.301961000000000
1417,1855,33447.000000000000000,13790,60,13790_60_65,Northern Atlantic Coastal Plain Maritime Forest,Hardwood-Conifer,74,160,9,7,10,5,85,I-B,237,0,179,0.929412000000000,0.000000000000000,0.701961000000000
1418,1856,41262.000000000000000,14000,60,14000_60_61,Central Appalachian Alkaline Glade and Woodland,Savanna,5,19,1583,4,78,21,1,II-A,255,153,229,1.000000000000000,0.600000000000000,0.898039000000000
1419,1857,3769.000000000000000,14360,60,14360_60,Northern Atlantic Coastal Plain Dune and Swale,Grassland,8,14,-9999,5,63,37,-9999,I-A,100,31,87,0.392157000000000,0.121569000000000,0.341176000000000
1423,1861,154958.000000000000000,14710,60,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,Riparian,613,392,121,80,13,21,66,III-A,0,191,176,0.000000000000000,0.749020000000000,0.690196000000000
1424,1862,10011.000000000000000,14720,60,14720_53_54_57_59_60,Central Interior and Appalachian Riparian Systems,Riparian,997,-9999,202,168,17,-9999,83,III-B,36,255,20,0.141176000000000,1.000000000000000,0.078431000000000
1425,1863,62276.000000000000000,14730,60,14730_55_58_60,Gulf and Atlantic Coastal Plain Floodplain Systems,Riparian,114,-9999,101,54,47,-9999,53,III-A,102,119,205,0.400000000000000,0.466667000000000,0.803922000000000
1426,1864,18199.000000000000000,14740,60,14740_46_47_48_55_56_58_60_99,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Riparian,477,202,131,68,14,34,52,III-A,171,185,235,0.670588000000000,0.725490000000000,0.921569000000000
1427,1865,42467.000000000000000,14790,60,14790_60_61_63_64_65_66,Central Interior and Appalachian Swamp Systems,Riparian,1011,-9999,1353,578,57,-9999,43,V-B,207,61,255,0.811765000000000,0.239216000000000,1.000000000000000
